Gene,Non-unique Gene name,Annotation,CAI_ATCC_49725,CAI_ATCC_49726,CAI_BKPL_MKS099,CAI_BKPL_MSK070,CAI_BKPL_MSK091,CAI_BKPL_MSK096,CAI_BKPL_MSK109,CAI_BKPL_MSK121,CAI_BKPL_MSK125,CAI_BKPL_MSK161,CAI_BKPL_MSK270,CAI_BKPL_MSK273,CAI_DS_CA1,CAI_DS_CA2,CAI_DS_CA3,CAI_DS_CA4,CAI_DS_CA5,CAI_DS_CA6,CAI_DS_CA8,CAI_DS_CA9,CAI_KPL_079,CAI_KPL_1818,CAI_KPL_1824,CAI_KPL_1986,CAI_KPL_1996,CAI_KPL_1998,CAI_KPL_2004,CAI_KPL_2617,CAI_KPL_2618,CAI_KPL_2641,CAI_KPL_2652,CAI_KPL_2660,CAI_KPL_2783,CAI_KPL_2859,CAI_KPL_3647,CAI_KPL_3674,CAI_KPL_3703,CAI_KPL_3774,CAI_KPL_3802,CAI_KPL_3832,CAI_KPL_3921,CAI_KPL_3926,CAI_KPL_3970,CAI_KPL_4034,CAI_KPL_4065,CAI_KPL_4075,CAI_KPL_MKS076,CAI_KPL_MSK075,CAI_KPL_MSK077,CAI_LRK_p3_SID1129,CAI_MAM_C779,CAI_MAM_C781,CAI_MAM_C787,CAI_SDB_Cl5570,CAI_SDB_Cl6012,CAI_SH_157,CAI_SH_192,CAI_SH_219,CAI_SH_23,CAI_SH_247,CAI_SH_281,CAI_SH_41,CAI_strain_NCTC934,CAII_SH_79,CAII_SH_98,CAII_DS_CA7,CAII_SDB_CI5886,CAII_SH_184,CAIII_KPL_1855,CAIII_SH_262,CAIV_SDB_Cl5456,CM_strain_06T638,CM_strain_12T220,CM_strain_12T66,CM_strain_14T168,CM_strain_14T424,CM_strain_14T514,CM_strain_14T631,CM_strain_150801,CM_strain_151011,CM_strain_160430,CM_strain_160603,CM_strain_160806,CM_strain_160811,CM_strain_160812,CM_strain_161211,CM_strain_170718,CM_strain_171015,CM_strain_171203,CM_strain_180126,CM_strain_180208,CM_strain_180216,CM_strain_9T245,CM_strain_CCUG_32361,CM_strain_NML_080212,CM_strain_NML_120205
group_3277,,hypothetical protein,BHJAACOI_01754,HKMEEOOC_02289,GENJCMKD_00112,GGNGMLNM_01932,FLPOMCPC_00478,FLNKFIAL_00460,GCMCGMEO_00110,KKDHGCNG_00155,KEENHLLD_00207,JLFNHPIJ_01103,CODCKMBH_02350,KIHHBJFA_01928,NANKJKFF_01922,CCGNCHJI_01881,GOFIAKIM_01785,DGCFMGAJ_01522,AACCAIGM_01762,GMEDNMEP_01891,FLLDPPMF_01959,LNLCNHAK_01897,KNGAMNHF_00332,LKGNFBEP_00273,KICAILHA_02489,MCNPKDLJ_01588,AACNPDCK_02419,GMLEFHEO_02408,KFNCPDAP_02407,IGDBGLLD_00439,OMFMOMKF_00067,HODLAEJM_02291,AFHPBIAF_00155,LHCGKHIJ_00145,AJEFBAEL_00571,OCDCHEMI_00489,CJKJNNNG_00076,EIGELMEO_02232,NGNHBKMG_00376,MEOJENFF_02158,KEGECLGJ_00574,AHOPDIHB_00219,CJININDG_00509,NDOGBOAP_02245,OAPFOPAL_02084,ACJGFGPL_02278,JGGIPLAJ_00355,PLGHJMOG_00130,LJBGMHMC_00136,DKGGAEON_02291,LIONBGAB_00117,BCBJMMFG_00700,FNKBOAAJ_01074,NBIGHBNP_02085,ABCKMHNF_02054,HAGCGINO_00613,HDNBEOBM_02107,CHKDFDKC_02204,FJKFCLGL_02227,BOLJFBOD_02229,KGEDCIMK_02115,OGANKOBH_02266,KHIGLMDP_01923,KCBPFIDL_01607,PGGCOMJD_02123,LDPIAJMB_02231,JHDPCHFA_02356,PGMBCLCL_00421,LEOIACCC_01732,OGHHNOBM_01500,HLJAHNNN_01743,HMAEAGFH_02058,JMBHJBPL_01813,LIOCNLML_00551,MMNKDKJC_02144,CIPIHPAA_01555,OHJNIDKA_01972,IHELPHKG_01175,JBLCIMDH_01576,OFEFOHCO_00222,BJBHHKKH_01089,HCNPNPGF_01959,BHFJFGML_00762,CCMCAHCO_02124,MLMKMFAK_02115,FMPCHCOO_02297,KDJAJFCO_00835,OHHPPKJL_00009,BADHAMCG_01452,DDALPCGJ_01928,HHABANBK_00034,IBMNCEGB_01370,OHPNAJOO_00571,CHPLCDPL_01074,EAOLOMHJ_01656,EKOBKANM_01932,DIAOIDPF_01590,IIDBPGJP_02023
rpmB,rpmB,50S ribosomal protein L28,BHJAACOI_01892,HKMEEOOC_00858,GENJCMKD_01706,GGNGMLNM_01530,FLPOMCPC_00189,FLNKFIAL_00104,GCMCGMEO_01704,KKDHGCNG_02263,KEENHLLD_01374,JLFNHPIJ_01499,CODCKMBH_01719,KIHHBJFA_01326,NANKJKFF_00342,CCGNCHJI_00342,GOFIAKIM_00343,DGCFMGAJ_00461,AACCAIGM_01022,GMEDNMEP_00689,FLLDPPMF_00411,LNLCNHAK_01682,KNGAMNHF_02000,LKGNFBEP_02036,KICAILHA_00909,MCNPKDLJ_00074,AACNPDCK_00898,GMLEFHEO_02018,KFNCPDAP_01702,IGDBGLLD_01574,OMFMOMKF_01117,HODLAEJM_00232,AFHPBIAF_01194,LHCGKHIJ_01642,AJEFBAEL_00104,OCDCHEMI_00835,CJKJNNNG_01935,EIGELMEO_00466,NGNHBKMG_02169,MEOJENFF_02282,KEGECLGJ_01843,AHOPDIHB_00279,CJININDG_02044,NDOGBOAP_01307,OAPFOPAL_02187,ACJGFGPL_00400,JGGIPLAJ_02137,PLGHJMOG_00027,LJBGMHMC_01802,DKGGAEON_01941,LIONBGAB_01767,BCBJMMFG_02309,FNKBOAAJ_01143,NBIGHBNP_01311,ABCKMHNF_00191,HAGCGINO_00807,HDNBEOBM_00520,CHKDFDKC_00765,FJKFCLGL_00813,BOLJFBOD_00789,KGEDCIMK_00350,OGANKOBH_00817,KHIGLMDP_00788,KCBPFIDL_00663,PGGCOMJD_00748,LDPIAJMB_00784,JHDPCHFA_00847,PGMBCLCL_02015,LEOIACCC_00658,OGHHNOBM_00073,HLJAHNNN_01169,HMAEAGFH_00745,JMBHJBPL_00981,LIOCNLML_01243,MMNKDKJC_00585,CIPIHPAA_00187,OHJNIDKA_01934,IHELPHKG_01217,JBLCIMDH_01023,OFEFOHCO_00532,BJBHHKKH_00073,HCNPNPGF_01758,BHFJFGML_00191,CCMCAHCO_00661,MLMKMFAK_00239,FMPCHCOO_01299,KDJAJFCO_01243,OHHPPKJL_01639,BADHAMCG_00814,DDALPCGJ_01411,HHABANBK_00749,IBMNCEGB_01825,OHPNAJOO_00080,CHPLCDPL_01649,EAOLOMHJ_02189,EKOBKANM_01314,DIAOIDPF_01838,IIDBPGJP_01819
group_3269,,hypothetical protein,BHJAACOI_01193,HKMEEOOC_01574,GENJCMKD_01603,GGNGMLNM_00427,FLPOMCPC_01096,FLNKFIAL_01200,GCMCGMEO_01229,KKDHGCNG_00823,KEENHLLD_00620,JLFNHPIJ_00314,CODCKMBH_00297,KIHHBJFA_00669,NANKJKFF_00529,CCGNCHJI_00160,GOFIAKIM_00156,DGCFMGAJ_00220,AACCAIGM_00195,GMEDNMEP_00341,FLLDPPMF_00111,LNLCNHAK_00185,KNGAMNHF_00865,LKGNFBEP_01625,KICAILHA_01647,MCNPKDLJ_00795,AACNPDCK_01624,GMLEFHEO_01154,KFNCPDAP_01295,IGDBGLLD_01173,OMFMOMKF_01826,HODLAEJM_00800,AFHPBIAF_00716,LHCGKHIJ_01150,AJEFBAEL_00731,OCDCHEMI_01098,CJKJNNNG_01165,EIGELMEO_01296,NGNHBKMG_00839,MEOJENFF_01609,KEGECLGJ_01321,AHOPDIHB_01229,CJININDG_00763,NDOGBOAP_01526,OAPFOPAL_01803,ACJGFGPL_00768,JGGIPLAJ_01212,PLGHJMOG_01774,LJBGMHMC_00611,DKGGAEON_00451,LIONBGAB_00605,BCBJMMFG_00222,FNKBOAAJ_00579,NBIGHBNP_00738,ABCKMHNF_00357,HAGCGINO_01169,HDNBEOBM_01186,CHKDFDKC_01488,FJKFCLGL_01536,BOLJFBOD_01503,KGEDCIMK_02023,OGANKOBH_01532,KHIGLMDP_00277,KCBPFIDL_02366,PGGCOMJD_01446,LDPIAJMB_01510,JHDPCHFA_01575,PGMBCLCL_00716,LEOIACCC_00587,OGHHNOBM_00789,HLJAHNNN_00453,HMAEAGFH_00423,JMBHJBPL_00135,LIOCNLML_01662,MMNKDKJC_01858,CIPIHPAA_00621,OHJNIDKA_00793,IHELPHKG_00103,JBLCIMDH_00884,OFEFOHCO_01277,BJBHHKKH_00691,HCNPNPGF_02290,BHFJFGML_01682,CCMCAHCO_00974,MLMKMFAK_01374,FMPCHCOO_00846,KDJAJFCO_02223,OHHPPKJL_01478,BADHAMCG_01027,DDALPCGJ_00573,HHABANBK_00545,IBMNCEGB_02210,OHPNAJOO_01406,CHPLCDPL_00156,EAOLOMHJ_00398,EKOBKANM_00595,DIAOIDPF_00933,IIDBPGJP_00095
sseA~~~sseA_2~~~sseA_1,sseA;sseA_2;sseA_1,Putative thiosulfate sulfurtransferase SseA,BHJAACOI_00635,HKMEEOOC_00645,GENJCMKD_00372,GGNGMLNM_00885,FLPOMCPC_00793,FLNKFIAL_00673,GCMCGMEO_00712,KKDHGCNG_01306,KEENHLLD_00466,JLFNHPIJ_00929,CODCKMBH_01202,KIHHBJFA_01535,NANKJKFF_01154,CCGNCHJI_01232,GOFIAKIM_00970,DGCFMGAJ_00863,AACCAIGM_00712,GMEDNMEP_01095,FLLDPPMF_00503,LNLCNHAK_01208,KNGAMNHF_01623,LKGNFBEP_01052,KICAILHA_00685,MCNPKDLJ_02305,AACNPDCK_00683,GMLEFHEO_00143,KFNCPDAP_00675,IGDBGLLD_02215,OMFMOMKF_00187,HODLAEJM_01343,AFHPBIAF_01855,LHCGKHIJ_00638,AJEFBAEL_01738,OCDCHEMI_01350,CJKJNNNG_00612,EIGELMEO_01745,NGNHBKMG_01719,MEOJENFF_01059,KEGECLGJ_01015,AHOPDIHB_00135,CJININDG_00013,NDOGBOAP_00159,OAPFOPAL_01487,ACJGFGPL_01246,JGGIPLAJ_00753,PLGHJMOG_00634,LJBGMHMC_01090,DKGGAEON_00937,LIONBGAB_01152,BCBJMMFG_01663,FNKBOAAJ_00135,NBIGHBNP_00145,ABCKMHNF_00592,HAGCGINO_01336;HAGCGINO_00240,HDNBEOBM_01030,CHKDFDKC_00553,FJKFCLGL_00602,BOLJFBOD_00574,KGEDCIMK_00565,OGANKOBH_00597,KHIGLMDP_01226,KCBPFIDL_00900,PGGCOMJD_00541,LDPIAJMB_00568,JHDPCHFA_00568,PGMBCLCL_01169,LEOIACCC_01347,OGHHNOBM_02192,HLJAHNNN_02060,HMAEAGFH_01944,JMBHJBPL_00426,LIOCNLML_01880,MMNKDKJC_00873,CIPIHPAA_01382,OHJNIDKA_02341,IHELPHKG_02215,JBLCIMDH_00272,OFEFOHCO_01653,BJBHHKKH_02068,HCNPNPGF_01209,BHFJFGML_00414,CCMCAHCO_00577,MLMKMFAK_00759,FMPCHCOO_02167,KDJAJFCO_00678,OHHPPKJL_00307,BADHAMCG_00343,DDALPCGJ_01762,HHABANBK_01483,IBMNCEGB_01481,OHPNAJOO_01146,CHPLCDPL_00574,EAOLOMHJ_00570,EKOBKANM_01648,DIAOIDPF_01746,IIDBPGJP_01130
ilvA,ilvA,L-threonine dehydratase biosynthetic IlvA,BHJAACOI_01112,HKMEEOOC_01658,GENJCMKD_01522,GGNGMLNM_00508,FLPOMCPC_01015,FLNKFIAL_01281,GCMCGMEO_01877,KKDHGCNG_00742,KEENHLLD_00701,JLFNHPIJ_00395,CODCKMBH_00378,KIHHBJFA_00751,NANKJKFF_00609,CCGNCHJI_00240,GOFIAKIM_00075,DGCFMGAJ_00301,AACCAIGM_00115,GMEDNMEP_00421,FLLDPPMF_00192,LNLCNHAK_00104,KNGAMNHF_00946,LKGNFBEP_01544,KICAILHA_01728,MCNPKDLJ_00876,AACNPDCK_01705,GMLEFHEO_01235,KFNCPDAP_01214,IGDBGLLD_01254,OMFMOMKF_01745,HODLAEJM_00719,AFHPBIAF_00635,LHCGKHIJ_01069,AJEFBAEL_00812,OCDCHEMI_01179,CJKJNNNG_01246,EIGELMEO_01215,NGNHBKMG_00758,MEOJENFF_01690,KEGECLGJ_01402,AHOPDIHB_01312,CJININDG_00682,NDOGBOAP_01607,OAPFOPAL_01722,ACJGFGPL_00849,JGGIPLAJ_01131,PLGHJMOG_01855,LJBGMHMC_00530,DKGGAEON_00370,LIONBGAB_00524,BCBJMMFG_00303,FNKBOAAJ_00498,NBIGHBNP_00657,ABCKMHNF_00276,HAGCGINO_01097,HDNBEOBM_00622,CHKDFDKC_01569,FJKFCLGL_01617,BOLJFBOD_01584,KGEDCIMK_01439,OGANKOBH_01613,KHIGLMDP_00196,KCBPFIDL_02285,PGGCOMJD_01527,LDPIAJMB_01591,JHDPCHFA_01656,PGMBCLCL_01906,LEOIACCC_01648,OGHHNOBM_00870,HLJAHNNN_00372,HMAEAGFH_00341,JMBHJBPL_00054,LIOCNLML_01582,MMNKDKJC_01939,CIPIHPAA_00862,OHJNIDKA_00934,IHELPHKG_00822,JBLCIMDH_00803,OFEFOHCO_01197,BJBHHKKH_00610,HCNPNPGF_02210,BHFJFGML_01762,CCMCAHCO_00187,MLMKMFAK_01455,FMPCHCOO_00926,KDJAJFCO_00450,OHHPPKJL_01559,BADHAMCG_00171,DDALPCGJ_00492,HHABANBK_00626,IBMNCEGB_02127,OHPNAJOO_01326,CHPLCDPL_00076,EAOLOMHJ_01847,EKOBKANM_00675,DIAOIDPF_01128,IIDBPGJP_00016
dapB,dapB,4-hydroxy-tetrahydrodipicolinate reductase,BHJAACOI_01222,HKMEEOOC_01544,GENJCMKD_01323,GGNGMLNM_00398,FLPOMCPC_01126,FLNKFIAL_01170,GCMCGMEO_01200,KKDHGCNG_00852,KEENHLLD_01019,JLFNHPIJ_00285,CODCKMBH_00268,KIHHBJFA_00640,NANKJKFF_00500,CCGNCHJI_00131,GOFIAKIM_00185,DGCFMGAJ_00191,AACCAIGM_00224,GMEDNMEP_00312,FLLDPPMF_00082,LNLCNHAK_00214,KNGAMNHF_00836,LKGNFBEP_01654,KICAILHA_01618,MCNPKDLJ_00766,AACNPDCK_01595,GMLEFHEO_01125,KFNCPDAP_01324,IGDBGLLD_01144,OMFMOMKF_01855,HODLAEJM_00829,AFHPBIAF_00745,LHCGKHIJ_01179,AJEFBAEL_00702,OCDCHEMI_01069,CJKJNNNG_01136,EIGELMEO_01326,NGNHBKMG_00242,MEOJENFF_01580,KEGECLGJ_01292,AHOPDIHB_01200,CJININDG_00792,NDOGBOAP_01497,OAPFOPAL_01832,ACJGFGPL_00739,JGGIPLAJ_01241,PLGHJMOG_01745,LJBGMHMC_00640,DKGGAEON_00480,LIONBGAB_00634,BCBJMMFG_00193,FNKBOAAJ_00608,NBIGHBNP_00767,ABCKMHNF_00386,HAGCGINO_00724,HDNBEOBM_00816,CHKDFDKC_01459,FJKFCLGL_01507,BOLJFBOD_01474,KGEDCIMK_00808,OGANKOBH_01503,KHIGLMDP_00306,KCBPFIDL_02427,PGGCOMJD_01417,LDPIAJMB_01481,JHDPCHFA_01546,PGMBCLCL_00745,LEOIACCC_00558,OGHHNOBM_00760,HLJAHNNN_00483,HMAEAGFH_00452,JMBHJBPL_00164,LIOCNLML_01690,MMNKDKJC_01830,CIPIHPAA_00650,OHJNIDKA_00765,IHELPHKG_01400,JBLCIMDH_00913,OFEFOHCO_01305,BJBHHKKH_00720,HCNPNPGF_02318,BHFJFGML_01653,CCMCAHCO_00946,MLMKMFAK_01345,FMPCHCOO_00819,KDJAJFCO_02195,OHHPPKJL_01450,BADHAMCG_01055,DDALPCGJ_00010,HHABANBK_00517,IBMNCEGB_00520,OHPNAJOO_01435,CHPLCDPL_00183,EAOLOMHJ_00370,EKOBKANM_00568,DIAOIDPF_00906,IIDBPGJP_00123
group_3267,,hypothetical protein,BHJAACOI_02087,HKMEEOOC_01059,GENJCMKD_02160,GGNGMLNM_01339,FLPOMCPC_01432,FLNKFIAL_01461,GCMCGMEO_01335,KKDHGCNG_02088,KEENHLLD_02126,JLFNHPIJ_02201,CODCKMBH_01524,KIHHBJFA_01137,NANKJKFF_00152,CCGNCHJI_00532,GOFIAKIM_00533,DGCFMGAJ_00650,AACCAIGM_02222,GMEDNMEP_00877,FLLDPPMF_01057,LNLCNHAK_00689,KNGAMNHF_00237,LKGNFBEP_02221,KICAILHA_01099,MCNPKDLJ_00267,AACNPDCK_01092,GMLEFHEO_01825,KFNCPDAP_01895,IGDBGLLD_01763,OMFMOMKF_01713,HODLAEJM_00531,AFHPBIAF_00303,LHCGKHIJ_01859,AJEFBAEL_00411,OCDCHEMI_00648,CJKJNNNG_00231,EIGELMEO_00656,NGNHBKMG_00442,MEOJENFF_00860,KEGECLGJ_00355,AHOPDIHB_00820,CJININDG_00434,NDOGBOAP_00814,OAPFOPAL_01559,ACJGFGPL_00641,JGGIPLAJ_01538,PLGHJMOG_01447,LJBGMHMC_01489,DKGGAEON_02158,LIONBGAB_01319,BCBJMMFG_01147,FNKBOAAJ_01328,NBIGHBNP_01063,ABCKMHNF_00006,HAGCGINO_00931,HDNBEOBM_01656,CHKDFDKC_00954,FJKFCLGL_00999,BOLJFBOD_00977,KGEDCIMK_00145,OGANKOBH_01006,KHIGLMDP_00599,KCBPFIDL_00467,PGGCOMJD_00939,LDPIAJMB_00981,JHDPCHFA_01057,PGMBCLCL_00109,LEOIACCC_00034,OGHHNOBM_00267,HLJAHNNN_00975,HMAEAGFH_00556,JMBHJBPL_00726,LIOCNLML_00110,MMNKDKJC_01079,CIPIHPAA_01916,OHJNIDKA_01737,IHELPHKG_00291,JBLCIMDH_02363,OFEFOHCO_01580,BJBHHKKH_02253,HCNPNPGF_01552,BHFJFGML_01923,CCMCAHCO_01358,MLMKMFAK_00474,FMPCHCOO_01516,KDJAJFCO_00215,OHHPPKJL_01917,BADHAMCG_00269,DDALPCGJ_01566,HHABANBK_01906,IBMNCEGB_00299,OHPNAJOO_01728,CHPLCDPL_00747,EAOLOMHJ_01534,EKOBKANM_00738,DIAOIDPF_00219,IIDBPGJP_01542
btuD_5~~~btuD_3~~~btuD_1~~~btuD_4~~~btuD_2~~~rbbA~~~lnrL,btuD_5;btuD_3;btuD_1;btuD_4;btuD_2;rbbA;lnrL;,Vitamin B12 import ATP-binding protein BtuD;Ribosome-associated ATPase;Linearmycin resistance ATP-binding protein LnrL;Multidrug efflux system ATP-binding protein;hypothetical protein,BHJAACOI_02090,HKMEEOOC_01062,GENJCMKD_02157,GGNGMLNM_01335;GGNGMLNM_01336,FLPOMCPC_01429,FLNKFIAL_01464,GCMCGMEO_01338,KKDHGCNG_02091,KEENHLLD_02129,JLFNHPIJ_02198,CODCKMBH_01521,KIHHBJFA_01134,NANKJKFF_00149,CCGNCHJI_00535,GOFIAKIM_00536,DGCFMGAJ_00653,AACCAIGM_02219,GMEDNMEP_00880,FLLDPPMF_01054,LNLCNHAK_00686,KNGAMNHF_00234,LKGNFBEP_02224,KICAILHA_01102,MCNPKDLJ_00270,AACNPDCK_01095,GMLEFHEO_01822,KFNCPDAP_01898,IGDBGLLD_01766,OMFMOMKF_01710,HODLAEJM_00534,AFHPBIAF_00300,LHCGKHIJ_01856,AJEFBAEL_00414,OCDCHEMI_00645,CJKJNNNG_00228,EIGELMEO_00659,NGNHBKMG_00445,MEOJENFF_00863,KEGECLGJ_00358,AHOPDIHB_00817,CJININDG_00437,NDOGBOAP_00810,OAPFOPAL_01556,ACJGFGPL_00637;ACJGFGPL_00638,JGGIPLAJ_01534;JGGIPLAJ_01535,PLGHJMOG_01444,LJBGMHMC_01486,DKGGAEON_02155,LIONBGAB_01322,BCBJMMFG_01150,FNKBOAAJ_01331,NBIGHBNP_01066,ABCKMHNF_00003,HAGCGINO_00927,HDNBEOBM_01659,CHKDFDKC_00957,FJKFCLGL_01003;FJKFCLGL_01002,BOLJFBOD_00980,KGEDCIMK_00142,OGANKOBH_01009,KHIGLMDP_00596,KCBPFIDL_00464,PGGCOMJD_00942,LDPIAJMB_00984,JHDPCHFA_01060,PGMBCLCL_00112,LEOIACCC_00031,OGHHNOBM_00270,HLJAHNNN_00972,HMAEAGFH_00553,JMBHJBPL_00729,LIOCNLML_00113,MMNKDKJC_01082,CIPIHPAA_01913,OHJNIDKA_01734,IHELPHKG_00294,JBLCIMDH_02360,OFEFOHCO_01583,BJBHHKKH_02256,HCNPNPGF_01549,BHFJFGML_01926,CCMCAHCO_01355,MLMKMFAK_00471,FMPCHCOO_01513,KDJAJFCO_00218,OHHPPKJL_01920,BADHAMCG_00272,DDALPCGJ_01563,HHABANBK_01909,IBMNCEGB_00296,OHPNAJOO_01731,CHPLCDPL_00744,EAOLOMHJ_01537,EKOBKANM_00735,DIAOIDPF_00216,IIDBPGJP_01545
yhaP,yhaP;,putative protein YhaP;hypothetical protein,BHJAACOI_02089,HKMEEOOC_01061,GENJCMKD_02158,GGNGMLNM_01337,FLPOMCPC_01430,FLNKFIAL_01463,GCMCGMEO_01337,KKDHGCNG_02090,KEENHLLD_02128,JLFNHPIJ_02199,CODCKMBH_01522,KIHHBJFA_01135,NANKJKFF_00150,CCGNCHJI_00534,GOFIAKIM_00535,DGCFMGAJ_00652,AACCAIGM_02220,GMEDNMEP_00879,FLLDPPMF_01055,LNLCNHAK_00687,KNGAMNHF_00235,LKGNFBEP_02223,KICAILHA_01101,MCNPKDLJ_00269,AACNPDCK_01094,GMLEFHEO_01823,KFNCPDAP_01897,IGDBGLLD_01765,OMFMOMKF_01711,HODLAEJM_00533,AFHPBIAF_00301,LHCGKHIJ_01857,AJEFBAEL_00413,OCDCHEMI_00646,CJKJNNNG_00229,EIGELMEO_00658,NGNHBKMG_00444,MEOJENFF_00862,KEGECLGJ_00357,AHOPDIHB_00818,CJININDG_00436,NDOGBOAP_00812;NDOGBOAP_00811,OAPFOPAL_01557,ACJGFGPL_00639,JGGIPLAJ_01536,PLGHJMOG_01445,LJBGMHMC_01487,DKGGAEON_02156,LIONBGAB_01321,BCBJMMFG_01149,FNKBOAAJ_01330,NBIGHBNP_01065,ABCKMHNF_00004,HAGCGINO_00929;HAGCGINO_00928,HDNBEOBM_01658,CHKDFDKC_00956,FJKFCLGL_01001,BOLJFBOD_00979,KGEDCIMK_00143,OGANKOBH_01008,KHIGLMDP_00597,KCBPFIDL_00465,PGGCOMJD_00941,LDPIAJMB_00983,JHDPCHFA_01059,PGMBCLCL_00111,LEOIACCC_00032,OGHHNOBM_00269,HLJAHNNN_00973,HMAEAGFH_00554,JMBHJBPL_00728,LIOCNLML_00112,MMNKDKJC_01081,CIPIHPAA_01914,OHJNIDKA_01735,IHELPHKG_00293,JBLCIMDH_02361,OFEFOHCO_01582,BJBHHKKH_02255,HCNPNPGF_01550,BHFJFGML_01925,CCMCAHCO_01356,MLMKMFAK_00472,FMPCHCOO_01514,KDJAJFCO_00217,OHHPPKJL_01919,BADHAMCG_00271,DDALPCGJ_01564,HHABANBK_01908,IBMNCEGB_00297,OHPNAJOO_01730,CHPLCDPL_00745,EAOLOMHJ_01536,EKOBKANM_00736,DIAOIDPF_00217,IIDBPGJP_01544
group_3265,,hypothetical protein,BHJAACOI_02088,HKMEEOOC_01060,GENJCMKD_02159,GGNGMLNM_01338,FLPOMCPC_01431,FLNKFIAL_01462,GCMCGMEO_01336,KKDHGCNG_02089,KEENHLLD_02127,JLFNHPIJ_02200,CODCKMBH_01523,KIHHBJFA_01136,NANKJKFF_00151,CCGNCHJI_00533,GOFIAKIM_00534,DGCFMGAJ_00651,AACCAIGM_02221,GMEDNMEP_00878,FLLDPPMF_01056,LNLCNHAK_00688,KNGAMNHF_00236,LKGNFBEP_02222,KICAILHA_01100,MCNPKDLJ_00268,AACNPDCK_01093,GMLEFHEO_01824,KFNCPDAP_01896,IGDBGLLD_01764,OMFMOMKF_01712,HODLAEJM_00532,AFHPBIAF_00302,LHCGKHIJ_01858,AJEFBAEL_00412,OCDCHEMI_00647,CJKJNNNG_00230,EIGELMEO_00657,NGNHBKMG_00443,MEOJENFF_00861,KEGECLGJ_00356,AHOPDIHB_00819,CJININDG_00435,NDOGBOAP_00813,OAPFOPAL_01558,ACJGFGPL_00640,JGGIPLAJ_01537,PLGHJMOG_01446,LJBGMHMC_01488,DKGGAEON_02157,LIONBGAB_01320,BCBJMMFG_01148,FNKBOAAJ_01329,NBIGHBNP_01064,ABCKMHNF_00005,HAGCGINO_00930,HDNBEOBM_01657,CHKDFDKC_00955,FJKFCLGL_01000,BOLJFBOD_00978,KGEDCIMK_00144,OGANKOBH_01007,KHIGLMDP_00598,KCBPFIDL_00466,PGGCOMJD_00940,LDPIAJMB_00982,JHDPCHFA_01058,PGMBCLCL_00110,LEOIACCC_00033,OGHHNOBM_00268,HLJAHNNN_00974,HMAEAGFH_00555,JMBHJBPL_00727,LIOCNLML_00111,MMNKDKJC_01080,CIPIHPAA_01915,OHJNIDKA_01736,IHELPHKG_00292,JBLCIMDH_02362,OFEFOHCO_01581,BJBHHKKH_02254,HCNPNPGF_01551,BHFJFGML_01924,CCMCAHCO_01357,MLMKMFAK_00473,FMPCHCOO_01515,KDJAJFCO_00216,OHHPPKJL_01918,BADHAMCG_00270,DDALPCGJ_01565,HHABANBK_01907,IBMNCEGB_00298,OHPNAJOO_01729,CHPLCDPL_00746,EAOLOMHJ_01535,EKOBKANM_00737,DIAOIDPF_00218,IIDBPGJP_01543
